filename,title,author,subtitle,confidence,language,rel_path
" EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg",EL MERCADO AGREDIDO,SYDNEY D'AGVILO,La antieconomía de la mafia institucionalizada,0.9,es," EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg"
 EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,Mafiæstado,SYDNEY D'AGVILO,EL MODUS OPERANDI DEL ESTADO ORGANIZADO,0.9,es, EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg
 La singularidad está más cerca_.jpg,La singularidad está más cerca,Ray Kurzweil,Cuando nos fusionamos con la IA,0.9,es, La singularidad está más cerca_.jpg
"Democracia, Justicia y Socialismo.jpg","DEMOCRACIA, JUSTICIA Y SOCIALISMO",Friedrich A. Hayek,Tercera edición,0.9,es," Unión Editorial\_Hayek\Democracia, Justicia y Socialismo.jpg"
Ensayos de Teoría Monetaria.jpg,Ensayos de teoría monetaria I,F.A. Hayek,,0.9,es, Unión Editorial\_Hayek\Ensayos de Teoría Monetaria.jpg
Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,Hayek,Eamonn Butler,Su contribución al pensamiento político y económico de nuestro tiempo,0.9,es, Unión Editorial\_Hayek\Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg
Las Vicisitudes del Liberalismo.jpg,LAS VICISITUDES DEL LIBERALISMO,F.A. HAYEK,Ensayos sobre Economía Austriaca y el ideal de libertad,1.0,es, Unión Editorial\_Hayek\Las Vicisitudes del Liberalismo.jpg
Socialismo y Guerra - Hayek.jpg,SOCIALISMO Y GUERRA,F.A. HAYEK,"Ensayos, Documentos, Reseñas",1.0,es, Unión Editorial\_Hayek\Socialismo y Guerra - Hayek.jpg
_Tráfico y Consumo de Drogas.jpg,TRÁFICO Y CONSUMO DE DROGAS,Ronald Hamowy (ed.),Consecuencias de su control por el Gobierno,0.9,es, Unión Editorial\_Tráfico y Consumo de Drogas.jpg
Adiós al Estado-Nación.jpg,ADIOS AL ESTADO-NACIÓN,JUAN PINA,UNA PERSPECTIVA LIBERTARIA DE LA GOBERNANZA POLÍTICA,0.9,es, Unión Editorial\Adiós al Estado-Nación.jpg
