pdf,thumb,ok,width,height,bytes,error
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\9-11 False Flag\Beyond-Misinformation-2015.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\9-11 False Flag\Beyond-Misinformation-2015.cover.jpg,True,464,600,57980,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\9-11 False Flag\The Dancing Israelis- Mossad Foreknowledge by Whitney Webb.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\9-11 False Flag\The Dancing Israelis- Mossad Foreknowledge by Whitney Webb.cover.jpg,True,464,600,59258,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\9-11 False Flag\World-Trade-Center-Physics.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\9-11 False Flag\World-Trade-Center-Physics.cover.jpg,True,450,600,36913,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Brain Washing and Cult Indoctrination Techniques\9 Reasons Not To Join The US Military by Wise Sloth.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Brain Washing and Cult Indoctrination Techniques\9 Reasons Not To Join The US Military by Wise Sloth.cover.jpg,True,464,600,39687,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Brain Washing and Cult Indoctrination Techniques\How and why military basic training brainwashes recruits.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Brain Washing and Cult Indoctrination Techniques\How and why military basic training brainwashes recruits.cover.jpg,True,464,600,44806,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Brain Washing and Cult Indoctrination Techniques\The Military is a Cult by Wise Sloth.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Brain Washing and Cult Indoctrination Techniques\The Military is a Cult by Wise Sloth.cover.jpg,True,464,600,50395,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Clinton Foundation and Body Count\clinton-foundation-infographic-the-epoch-times.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Clinton Foundation and Body Count\clinton-foundation-infographic-the-epoch-times.cover.jpg,True,600,593,101346,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Ancient Science of Food and Mental Lethargy-Alan_Watt_Dec 7 2006.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Ancient Science of Food and Mental Lethargy-Alan_Watt_Dec 7 2006.cover.jpg",True,464,600,66740,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Artificial Food Colorings\The Dark Side of the Rainbow of Food Dyes Being Used to Color Your Food.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Artificial Food Colorings\The Dark Side of the Rainbow of Food Dyes Being Used to Color Your Food.cover.jpg",True,464,600,45853,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Atrazine induces complete feminization and chemicalcastration in male African clawed frogs-Tyrone Hayes 2010.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Atrazine induces complete feminization and chemicalcastration in male African clawed frogs-Tyrone Hayes 2010.cover.jpg",True,449,600,95595,
