pdf,thumb,ok,width,height,bytes,error
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).jpg,True,464,600,49252,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.jpg,True,372,600,88475,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  Kurzweil - The Singularity Is Nearer.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  Kurzweil - The Singularity Is Nearer.jpg,True,464,600,73975,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Constitución Territorial Libertaria de los Mexicanos.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Constitución Territorial Libertaria de los Mexicanos.jpg,True,371,600,53386,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Innovation Commons The Origin of Economic Growth (Jason Potts).pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Innovation Commons The Origin of Economic Growth (Jason Potts).jpg,True,398,600,4958,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Febrero\Constitución Libertaria.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Febrero\Constitución Libertaria.jpg,True,371,600,53386,
"D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ Economic Logic, Fourth Edit_.pdf","E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ Economic Logic, Fourth Edit_.jpg",True,464,600,34098,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.jpg,True,423,600,39641,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ELG_10 3-25.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ELG_10 3-25.jpg,True,425,600,48454,
D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Lao Zi Philosophy of Liberal Government.pdf,E:\Vincent\pdf_thumbs_sample\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Lao Zi Philosophy of Liberal Government.jpg,True,400,600,57345,
