filename,best_title,best_author,title_source,rel_path
 2025. La singularidad está más cerca (Ray Kurzweil).pdf,La singularidad está más cerca,Ray Kurzweil,meta,      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf
 Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.pdf,Nolbert Briceño,Briceño,page1,      😱 NUEVO 2026\ Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.pdf
  Kurzweil - The Singularity Is Nearer.pdf,The Singularity Is Nearer: When We Merge with AI,Ray Kurzweil,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  Kurzweil - The Singularity Is Nearer.pdf
Constitución Territorial Libertaria de los Mexicanos.pdf,Constitución Territorial,Cuenta Microsoft,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Constitución Territorial Libertaria de los Mexicanos.pdf
Innovation Commons The Origin of Economic Growth (Jason Potts).pdf,Innovation Commons,Jason Potts,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Innovation Commons The Origin of Economic Growth (Jason Potts).pdf
Constitución Libertaria.pdf,Constitución Territorial,Cuenta Microsoft,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Febrero\Constitución Libertaria.pdf
" Economic Logic, Fourth Edit_.pdf",Economic Logic,,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ Economic Logic, Fourth Edit_.pdf"
Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.pdf,Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista,,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.pdf
ELG_10 3-25.pdf,EL LIBERTADOR GALOPANTE GUATEMALA,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ELG_10 3-25.pdf
Lao Zi Philosophy of Liberal Government.pdf,Lao Zi Philosophy of Liberal Government,,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Lao Zi Philosophy of Liberal Government.pdf
McCraw - Joseph Schumpeter_ Innovación y Destrucción Creativa_.pdf,Joseph Schumpeter,Thomas K. McCraw,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\McCraw - Joseph Schumpeter_ Innovación y Destrucción Creativa_.pdf
"Schumpeter - Ciclos economicos_ Analisis teorico, historico y estadistico del proceso capitalista.pdf","Ciclos económicos : análisis teórico, histórico y estadístico del proceso capitalista","Schumpeter, Joseph A",meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Ciclos economicos_ Analisis teorico, historico y estadistico del proceso capitalista.pdf"
