filename,rel_path,abs_path,size_bytes,best_title,best_author,title_source,meta_title,meta_author,page1_title_guess,filename_title,filename_author,page1_text_preview,meta_error,page_error
 2025. La singularidad está más cerca (Ray Kurzweil).pdf,      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf,10721741,La singularidad está más cerca,Ray Kurzweil,meta,La singularidad está más cerca,,,La singularidad está más cerca,Ray Kurzweil,,,
 Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.pdf,      😱 NUEVO 2026\ Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ Briceño - Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad_.pdf,4610789,Nolbert Briceño,Briceño,page1,,,Nolbert Briceño,Refutando a un Nobel_ Reflexiones sobre _El camino a la libertad,Briceño,Nolbert Briceño | enero 2025 | Venezuela | Refutando a un Nobel: | Reflexiones sobre | “El camino a la libertad”,,
  Kurzweil - The Singularity Is Nearer.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  Kurzweil - The Singularity Is Nearer.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  Kurzweil - The Singularity Is Nearer.pdf,24370106,The Singularity Is Nearer: When We Merge with AI,Ray Kurzweil,meta,The Singularity Is Nearer: When We Merge with AI,Ray Kurzweil,,The Singularity Is Nearer,Kurzweil,,,
Constitución Territorial Libertaria de los Mexicanos.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Constitución Territorial Libertaria de los Mexicanos.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Constitución Territorial Libertaria de los Mexicanos.pdf,1131426,Constitución Territorial,Cuenta Microsoft,page1,,Cuenta Microsoft,Constitución Territorial,Constitución Territorial Libertaria de los Mexicanos,,"1  |   | Constitución Territorial  | Libertaria de los Mexicanos  |   | Este documento solo podrá ser legitimado por la  | misma población mexicana, a medida que cada  | individuo en su propio proceso de comprensión y  | criterio, descubra consciente o inconscientemente,  | que su vida no debe ser intervenida por nad",,
Innovation Commons The Origin of Economic Growth (Jason Potts).pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Innovation Commons The Origin of Economic Growth (Jason Potts).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Enero\Innovation Commons The Origin of Economic Growth (Jason Potts).pdf,3156224,Innovation Commons,Jason Potts,page1,,,Innovation Commons,Innovation Commons The Origin of Economic Growth,Jason Potts,Innovation Commons,,
Constitución Libertaria.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Febrero\Constitución Libertaria.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Febrero\Constitución Libertaria.pdf,1131426,Constitución Territorial,Cuenta Microsoft,page1,,Cuenta Microsoft,Constitución Territorial,Constitución Libertaria,,"1  |   | Constitución Territorial  | Libertaria de los Mexicanos  |   | Este documento solo podrá ser legitimado por la  | misma población mexicana, a medida que cada  | individuo en su propio proceso de comprensión y  | criterio, descubra consciente o inconscientemente,  | que su vida no debe ser intervenida por nad",,
" Economic Logic, Fourth Edit_.pdf","      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ Economic Logic, Fourth Edit_.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ Economic Logic, Fourth Edit_.pdf",15931010,Economic Logic,,meta,Economic Logic,,,"Economic Logic, Fourth Edit",,,,
Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista.pdf,1893504,Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista,,filename,,,,Anarquismo coletivista o bakuninismo. Elementos de um programa anarquista,,,,
ELG_10 3-25.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ELG_10 3-25.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\ELG_10 3-25.pdf,735473,EL LIBERTADOR GALOPANTE GUATEMALA,,page1,,,EL LIBERTADOR GALOPANTE GUATEMALA,ELG_10 3-25,,1 | EL LIBERTADOR GALOPANTE GUATEMALA,,
Lao Zi Philosophy of Liberal Government.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Lao Zi Philosophy of Liberal Government.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Lao Zi Philosophy of Liberal Government.pdf,2121396,Lao Zi Philosophy of Liberal Government,,meta,Lao Zi Philosophy of Liberal Government,,,Lao Zi Philosophy of Liberal Government,,,,
