cover_path,cover_name,cover_kind,cover_norm,status,score,method,pdf_path,pdf_name,candidate_2,score_2,candidate_3,score_3
"D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg"," EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg",title,el mercado agredido la antieconomia de la mafia institucionalizada,no_match,66.7,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 💹 Capitalismo y Libre Mercado\ Empresarialidad\Mises - El Mercado (Pasajes).pdf,Mises - El Mercado (Pasajes).pdf,La Escuela Austriaca de Economía y la Economía Social de Mercado_.pdf,64.3,El Metodo de la Economia Politica - Adrian O Ravier.pdf,61.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg, EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,title,el modus operandi del estado organizado,no_match,74.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\➕ TEMAS VARIOS\ 🪖 Guerra y Terrorismo\ Charles Tilly - Guerra y Construcción del Estado como Crimen Organizado.pdf, Charles Tilly - Guerra y Construcción del Estado como Crimen Organizado.pdf,¿El Estado Emprendedor-.pdf,68.3,la-anatomia-del-estado.pdf,68.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ La singularidad está más cerca_.jpg, La singularidad está más cerca_.jpg,title,la singularidad esta mas cerca,auto,100.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf, 2025. La singularidad está más cerca (Ray Kurzweil).pdf,Singularidad_.pdf,100.0,La singularidad está cerca. (Raymond Kurzweil).pdf,98.9
"D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Democracia, Justicia y Socialismo.jpg","Democracia, Justicia y Socialismo.jpg",title,democracia justicia y socialismo,review,87.6,token_set+overlap,"D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2023\ Julio-Diciembre\Agosto\ Resumen de Capitalismo, Socialismo y Democracia de Joseph Schumpeter.pdf"," Resumen de Capitalismo, Socialismo y Democracia de Joseph Schumpeter.pdf",Analisis de Capitalismo Socialismo y Democracia.pdf,87.6,"Schumpeter - Capitalismo, Socialismo y Democracia I.pdf",87.6
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Ensayos de Teoría Monetaria.jpg,Ensayos de Teoría Monetaria.jpg,title,ensayos de teoria monetaria,review,89.2,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\    🤓 AUTORES\   CATEGORÍAS\  🌗 Ancaps-Voluntaristas\Antony P. Mueller\Artículos cortos\Mueller - Las raíces neomarxistas de la teoría monetaria moderna.pdf,Mueller - Las raíces neomarxistas de la teoría monetaria moderna.pdf, Bagus - Anti-Rallo_ Una Crítica a la Teoría Monetaria de Juan Ramón Rallo.pdf,86.6,Anti_Rallo_Una_crítica_a_la_teoría_monetaria_de_Juan_Ramón_Rallo.pdf,86.6
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,title,hayek su contribucion al pensamiento politico y economico de nuestro tiempo eamonn butler,review,82.1,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 🪙 Historia Económica\Artículos\Hayek - Historia Economica y Pensamiento Politico.pdf,Hayek - Historia Economica y Pensamiento Politico.pdf,El pensamiento politico moderno - Omar Astorga.pdf,74.5, Rothbard - Historia del Pensamiento Económico I.pdf,68.4
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Las Vicisitudes del Liberalismo.jpg,Las Vicisitudes del Liberalismo.jpg,title,las vicisitudes del liberalismo,review,81.2,partial,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2024\ Enero-Junio\Marzo - Abril\Quispe - Liberalismo.pdf,Quispe - Liberalismo.pdf,Adriá - ¿Qué es el Liberalismo_.pdf,78.3,La rebelión de las naciones Crisis del liberalismo y auge del conservadurismo popular (Francisco de Santibañes).pdf,77.4
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Socialismo y Guerra - Hayek.jpg,Socialismo y Guerra - Hayek.jpg,title,socialismo y guerra hayek,auto,90.4,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\➕ TEMAS VARIOS\ 🪖 Guerra y Terrorismo\Hülsman - Las mentiras del socialismo alemán en la guerra y la paz.pdf,Hülsman - Las mentiras del socialismo alemán en la guerra y la paz.pdf,Hayek - Los Intelectuales y el Socialismo.pdf,87.7,Bagus - Los llamados a la planificación central en el pánico del COVID-19 son como los llamados al «socialismo de guerra» de antaño.pdf,85.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Tráfico y Consumo de Drogas.jpg,_Tráfico y Consumo de Drogas.jpg,title,trafico y consumo de drogas,no_match,72.7,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\➕ TEMAS VARIOS\Capella - Drogas.pdf,Capella - Drogas.pdf,Comienzos sobre el usos de Drogas.pdf,63.8,Block - Narcotráfico y Drogadicción.pdf,61.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Adiós al Estado-Nación.jpg,Adiós al Estado-Nación.jpg,title,adios al estado nacion,no_match,72.2,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   🏛️ ESTATISMO\Artículos\Rothbard - ¿Odias al Estado_.pdf,Rothbard - ¿Odias al Estado_.pdf,Giacomini - Secesión_ desarmando al Estado.pdf,72.2,Watner - ¿Damos nuestro consentimiento al Estado al negarnos a emigrar_.pdf,68.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Atlas Libertas\BORGES Y LA ECONOMÍA.jpg,BORGES Y LA ECONOMÍA.jpg,title,borges y la economia,review,85.7,partial,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2023\ Julio-Diciembre\Agosto\Montaldo - El Nazismo y la Economía.pdf,Montaldo - El Nazismo y la Economía.pdf,Woods - Iglesia y la Economía.pdf,85.0,"Thornton - Dinero, inflación y ciclos económicos, el efecto Cantillon y la economía.pdf",83.3
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Atlas Libertas\El-Consorcio.jpg,El-Consorcio.jpg,title,el consorcio,no_match,66.7,partial,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\ Ayau - El Proceso Económico .pdf, Ayau - El Proceso Económico .pdf,Ayau - El Proceso Económico .pdf,66.7,Economía Neoclásica-.pdf,63.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\_La teoría de la Explotación - Bawerk.jpg,_La teoría de la Explotación - Bawerk.jpg,title,la teoria de la explotacion bawerk,no_match,74.4,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 📚 Escuelas\La Teoría de Public Choice.pdf,La Teoría de Public Choice.pdf,Bawerk - Teoría Positiva del Capital.pdf,71.7,La Teoría de la Libertad - Rothbard.pdf,71.4
