status,title_score,author_score,cover_file,cover_title,cover_author,pdf_file,pdf_title,pdf_author,pdf_rel_path,cover_rel_path,cover_abs,pdf_abs,cover_confidence,alt2_pdf,alt2_title_score,alt3_pdf,alt3_title_score
no_match,0.0,," EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg",EL MERCADO AGREDIDO,SYDNEY D'AGVILO,,,,," EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg","D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ EL MERCADO AGREDIDO, LA ANTIECONOMÍA DE LA MAFIA INSTITUCIONALIZADA.jpg",,0.9,,,,
no_match,0.0,, EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,Mafiæstado,SYDNEY D'AGVILO,,,,, EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ EL MODUS OPERANDI DEL ESTADO ORGANIZADO.jpg,,0.9,,,,
auto,100.0,100.0, La singularidad está más cerca_.jpg,La singularidad está más cerca,Ray Kurzweil, 2025. La singularidad está más cerca (Ray Kurzweil).pdf,La singularidad está más cerca,Ray Kurzweil,      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf, La singularidad está más cerca_.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ La singularidad está más cerca_.jpg,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 2025. La singularidad está más cerca (Ray Kurzweil).pdf,0.9,,,,
no_match,0.0,,"Democracia, Justicia y Socialismo.jpg","DEMOCRACIA, JUSTICIA Y SOCIALISMO",Friedrich A. Hayek,,,,," Unión Editorial\_Hayek\Democracia, Justicia y Socialismo.jpg","D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Democracia, Justicia y Socialismo.jpg",,0.9,,,,
no_match,0.0,,Ensayos de Teoría Monetaria.jpg,Ensayos de teoría monetaria I,F.A. Hayek,,,,, Unión Editorial\_Hayek\Ensayos de Teoría Monetaria.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Ensayos de Teoría Monetaria.jpg,,0.9,,,,
no_match,0.0,,Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,Hayek,Eamonn Butler,,,,, Unión Editorial\_Hayek\Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Hayek Su contribución al pensamiento político y económico de nuestro tiempo - Eamonn Butler.jpg,,0.9,,,,
no_match,0.0,,Las Vicisitudes del Liberalismo.jpg,LAS VICISITUDES DEL LIBERALISMO,F.A. HAYEK,,,,, Unión Editorial\_Hayek\Las Vicisitudes del Liberalismo.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Las Vicisitudes del Liberalismo.jpg,,1.0,,,,
no_match,0.0,,Socialismo y Guerra - Hayek.jpg,SOCIALISMO Y GUERRA,F.A. HAYEK,,,,, Unión Editorial\_Hayek\Socialismo y Guerra - Hayek.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Hayek\Socialismo y Guerra - Hayek.jpg,,1.0,,,,
no_match,0.0,,_Tráfico y Consumo de Drogas.jpg,TRÁFICO Y CONSUMO DE DROGAS,Ronald Hamowy (ed.),,,,, Unión Editorial\_Tráfico y Consumo de Drogas.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\_Tráfico y Consumo de Drogas.jpg,,0.9,,,,
no_match,0.0,,Adiós al Estado-Nación.jpg,ADIOS AL ESTADO-NACIÓN,JUAN PINA,,,,, Unión Editorial\Adiós al Estado-Nación.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Adiós al Estado-Nación.jpg,,0.9,,,,
no_match,0.0,,BORGES Y LA ECONOMÍA.jpg,Borges,Martín Krause,,,,, Unión Editorial\Atlas Libertas\BORGES Y LA ECONOMÍA.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Atlas Libertas\BORGES Y LA ECONOMÍA.jpg,,0.9,,,,
no_match,0.0,,El-Consorcio.jpg,EL CONSORCIO,Ricardo M. Rojas,,,,, Unión Editorial\Atlas Libertas\El-Consorcio.jpg,D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Atlas Libertas\El-Consorcio.jpg,,1.0,,,,
